sample_id,stream_group,minor_stream_group,date,glacial_frac,glacial_frac_sd,snowpack_frac,snowpack_frac_sd,prcp_act_frac,prcp_act_frac_sd,lentic_frac,lentic_frac_sd
2019_171_OldMineRiverDownstream_27072019,Sioraq,Sioraq Blackmoss,27/07/2019,0.848,0.224,0.072,0.155,0.058,0.133,0.022,0.06
2019_174_BlackmossRiverJointFlow_29072019,Sioraq,Sioraq Blackmoss,29/07/2019,0.724,0.295,0.078,0.161,0.139,0.231,0.059,0.12
2019_175_BlackmossRiverEastFork_29072019,Sioraq,Sioraq Blackmoss,29/07/2019,0.807,0.251,0.072,0.151,0.085,0.175,0.035,0.085
2019_176_BlackmossRiverSouthFork_29072019,Sioraq,Sioraq Blackmoss,29/07/2019,0.836,0.243,0.089,0.184,0.054,0.128,0.022,0.066
2019_178_UpperIceCanyonRiverMorning_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.854,0.223,0.093,0.179,0.038,0.099,0.016,0.047
2019_179_UpperIceCanyonRiverAfternoon_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.833,0.235,0.085,0.167,0.061,0.138,0.021,0.064
2019_180_IceCanyonRiverPreBankSpring_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.723,0.295,0.08,0.16,0.143,0.228,0.054,0.114
2019_185_IceCanyonAboveWaterfall_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.285,0.263,0.069,0.127,0.361,0.384,0.285,0.282
2019_187_IceCanyonBelowWaterfall_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.842,0.23,0.08,0.161,0.058,0.137,0.02,0.06
2019_191_UpperNorthForkFoxCanyon_29072019,Sioraq,Sioraq Tuto Head,29/07/2019,0.739,0.289,0.075,0.156,0.129,0.22,0.057,0.113
2019_192_FoxCanyonBridgeNorthFork_29072019,Sioraq,Sioraq Tuto,29/07/2019,0.803,0.25,0.076,0.155,0.085,0.168,0.036,0.088
2019_193_FoxCanyonBridgeSouthFork_29072019,Sioraq,Sioraq Pingorsuit,29/07/2019,0.853,0.219,0.071,0.151,0.054,0.126,0.022,0.069
2019_194_FoxCanyonBridgeJointFlow_29072019,Sioraq,Other Sioraq,29/07/2019,0.739,0.285,0.073,0.153,0.129,0.221,0.06,0.117
2019_195_SouthRiverMouth_29072019,Sioraq,Sioraq Mouth,29/07/2019,0.366,0.292,0.071,0.142,0.32,0.364,0.242,0.26
2019_228_SouthRiverMouth_01082019,Sioraq,Sioraq Mouth,01/08/2019,0.851,0.218,0.072,0.149,0.057,0.135,0.021,0.06
2019_229_FoxCanyonBridgeNorthFork_01082019,Sioraq,Sioraq Tuto,01/08/2019,0.835,0.237,0.084,0.17,0.06,0.139,0.021,0.059
2019_230_FoxCanyonBridgeSouthFork_01082019,Sioraq,Sioraq Pingorsuit,01/08/2019,0.75,0.276,0.063,0.139,0.119,0.209,0.069,0.131
2019_232_IceRampPoolRiver_01082019,Sioraq,Sioraq Tuto Head,01/08/2019,0.722,0.296,0.083,0.163,0.141,0.231,0.055,0.11
2018_010_NorthRiverMouth_1,Pituffik,Pituffik Mouth,18/06/2018,0.229,0.254,0.614,0.28,0.13,0.206,0.026,0.06
2018_032_NorthRiverMouth_1,Pituffik,Pituffik Mouth,23/06/2018,0.22,0.246,0.662,0.259,0.094,0.162,0.024,0.056
2018_033_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,23/06/2018,0.103,0.138,0.837,0.161,0.047,0.093,0.014,0.036
2018_043_NorthRiverMouth_1,Pituffik,Pituffik Mouth,27/06/2018,0.277,0.289,0.559,0.301,0.135,0.214,0.028,0.064
2018_044_NorthRiverShelter5.8_1,Pituffik,Pituffik Ice Wall,27/06/2018,0.092,0.128,0.851,0.151,0.043,0.089,0.014,0.036
2018_047_IceWallStream_1,Pituffik,Pituffik Ice Wall Head,27/06/2018,0.098,0.134,0.832,0.165,0.052,0.107,0.018,0.042
2018_089_NorthRiverMouth_1,Pituffik,Pituffik Mouth,02/07/2018,0.316,0.296,0.293,0.285,0.342,0.306,0.049,0.094
2018_134_NorthRiverMouth_1,Pituffik,Pituffik Mouth,08/07/2018,0.49,0.344,0.369,0.306,0.117,0.188,0.024,0.061
2018_135_NorthRiverSouthForkShelter2_1,Pituffik,Pituffik Snoutwash,08/07/2018,0.66,0.32,0.251,0.276,0.069,0.136,0.02,0.052
2018_136_NorthRiverShelter5.8_08.07.18,Pituffik,Pituffik Ice Wall,08/07/2018,0.245,0.262,0.638,0.271,0.095,0.165,0.022,0.052
2018_140_NorthRiverMouth_1,Pituffik,Pituffik Mouth,11/07/2018,0.324,0.309,0.372,0.304,0.265,0.286,0.04,0.083
